station_id,Location name,ESMI_ID,District,State,Lat,Lon,era_min_time,era_max_time,era_lat,era_lon
496,Vijaylakshmipuram Ambathur,,Thiruvallur,Tamil Nadu,13.12422962,80.15413992,2018-03-01,2019-01-01,13.1,80.2
498,Vikas Nagar,,Lucknow,Uttar Pradesh,26.89800576,80.96425856,2015-07-01,2019-01-01,26.9,81.0
499,Vinod Vihar Colony Saharanpur ,,Saharanpur,Uttar Pradesh,29.96391643,77.5567696,2016-12-01,2017-12-01,30.0,77.6
500,VPuram,,Hyderabad,Telangana,17.3254363,78.57317564,2015-11-01,2017-11-01,17.3,78.6
501,VSR Nagar Chidambaram,,Cuddalore,Tamil Nadu,11.40417555,79.68013647,2018-03-01,2019-01-01,11.4,79.7
502,VV Puram ,,Bengaluru Urban,Karnataka,12.95239718,77.57678966,2015-08-01,2017-02-01,13.0,77.6
503,Waddicherla ,,Warangal,Telangana,17.65772118,79.24469934,2015-09-01,2018-04-01,17.7,79.2
504,Wani ,914,Dhule,Maharashtra,20.88361053,74.76213979,2023-08-01,2024-01-01,20.9,74.8
505,Ward No 4,,Saharsa,Bihar,25.89401419,86.6152464,2016-02-01,2016-06-01,25.9,86.6
506,West cross street Chidambaram,,Cuddalore,Tamil Nadu,11.40207242,79.69116258,2018-01-01,2019-01-01,11.4,79.7
508,Yelahanka ,,Bengaluru Urban,Karnataka,13.11751591,77.59940714,2015-09-01,2019-01-01,13.1,77.6
509,Yellur,,Belgaum,Karnataka,15.78057293,74.52202273,2017-12-01,2019-01-01,15.8,74.5
510,Ziniret Chowk,,Udaipur,Rajasthan,24.57985421,73.69376192,2016-05-01,2017-01-01,24.6,73.7
511,Baldirai (E),,Sultanpur,Uttar Pradesh,26.46856501,81.89301569,2018-08-01,2019-01-01,26.5,81.9
512,Baldirai (W),,Sultanpur,Uttar Pradesh,26.46856501,81.89301569,2018-08-01,2019-01-01,26.5,81.9
513,Bikwajipur Parasin,,Sultanpur,Uttar Pradesh,26.11150736,82.6632338,2018-08-01,2019-01-01,26.1,82.7
514,Bikwajipur,,Sultanpur,Uttar Pradesh,26.25929168,82.06478227,2018-08-01,2019-01-01,26.3,82.1
515,Dhanaudi (E),,Sultanpur,Uttar Pradesh,26.25929168,82.06478227,2018-08-01,2019-01-01,26.3,82.1
516,Dhanaudi (W),,Sultanpur,Uttar Pradesh,26.25929168,82.06478227,2018-08-01,2019-01-01,26.3,82.1
517,Kharsoma (E) ,,Sultanpur,Uttar Pradesh,26.36980692,82.19009787,2018-08-01,2019-01-01,26.4,82.2
518,Kharsoma (N) Sultanpur,,Sultanpur,Uttar Pradesh,26.36980692,82.19009787,2018-11-01,2019-01-01,26.4,82.2
519,Kharsoma (S),,Sultanpur,Uttar Pradesh,26.36980692,82.19009787,2018-08-01,2019-01-01,26.4,82.2
520,Kharsoma (W) ,,Sultanpur,Uttar Pradesh,26.36980692,82.19009787,2018-08-01,2019-01-01,26.4,82.2
521,Oragadam Ambathur,,Thiruvallur,Tamil Nadu,13.13451391,80.15153182,2018-08-01,2019-01-01,13.1,80.2
522,Paraspatti (E),,Sultanpur,Uttar Pradesh,26.22408686,82.31538574,2018-08-01,2019-01-01,26.2,82.3
523,Paraspatti (W),,Sultanpur,Uttar Pradesh,26.22408686,82.31538574,2018-08-01,2019-01-01,26.2,82.3
524,Purehubba,,Sultanpur,Uttar Pradesh,26.25959975,82.06821549,2018-08-01,2019-01-01,26.3,82.1
525,Sukhbaderi,,Sultanpur,Uttar Pradesh,26.47551805,81.92078763,2018-08-01,2019-01-01,26.5,81.9
526,Tiwaripur (E),,Sultanpur,Uttar Pradesh,26.17889702,82.26594748,2018-08-01,2019-01-01,26.2,82.3
527,Tiwaripur (W),,Sultanpur,Uttar Pradesh,26.17889702,82.26594748,2018-08-01,2019-01-01,26.2,82.3
528,Uttardah,,Sultanpur,Uttar Pradesh,26.32187824,82.03788787,2018-08-01,2019-01-01,26.3,82.0
529,Sahakar Nagar,119,Pune,Maharashtra,18.48984534,73.84679158,2014-12-01,2024-01-01,18.5,73.8
530,Aundh,130,Pune,Maharashtra,18.55105111,73.80853932,2014-12-01,2024-01-01,18.6,73.8
531,PEG (Kothrud),137,Pune,Maharashtra,18.50166172,73.8223785,2014-12-01,2024-01-01,18.5,73.8
532,Ameerpet,171,Hyderabad,Telangana,17.43443761,78.45388323,2014-12-01,2024-01-01,17.4,78.5
533,Srirampura,212,Bengaluru,Karnataka,13.06873736,77.6148191,2014-12-01,2024-01-01,13.1,77.6
534,Sector 70,269,Sahibzada Ajit Singh Nagar,Punjab,30.69003032,76.70998706,2015-07-01,2022-08-01,30.7,76.7
535,Deopur,302,Dhule,Maharashtra,20.92002389,74.74999078,2015-08-01,2023-11-01,20.9,74.7
536,Prithvi Avenue,439,Chennai,Tamil Nadu,13.02986343,80.25359066,2016-04-01,2022-06-01,13.0,80.3
537,Bhopoli,464,Palghar,Maharashtra,19.76634446,72.98835982,2016-07-01,2021-01-01,19.8,73.0
538,Malwada,465,Palghar,Maharashtra,19.76116717,73.15349013,2016-07-01,2021-01-01,19.8,73.2
539,Rajdhani Masjid,499,Guwahati,Assam,26.14158989,91.78632608,2016-11-01,2024-01-01,26.1,91.8
540,Sri Ram Rang Pura,570,Bellary,Karnataka,15.28354838,76.64444763,2017-02-01,2022-12-01,15.3,76.6
541,Banjara Hills,673,Hyderabad,Telangana,17.4170613,78.44818246,2017-05-01,2024-01-01,17.4,78.4
542,Kapoorthla,704,Lucknow,Uttar Pradesh,26.90145217,80.94450466,2017-10-01,2024-01-01,26.9,80.9
543,Firozpur Suratganj,741,Barabanki,Uttar Pradesh,27.21073443,81.33403423,2018-03-01,2023-08-01,27.2,81.3
544,Saheed Nagar,749,Bhubaneswar,Odisha,20.29576995,85.84527015,2018-02-01,2024-01-01,20.3,85.8
545,Paigwa,764,Barabanki,Uttar Pradesh,27.09653607,81.21674915,2017-11-01,2023-03-01,27.1,81.2
546,Besant Nagar,849,Chennai,Tamil Nadu,13.00001241,80.26501864,2019-01-01,2022-05-01,13.0,80.3
547,Tezpur,863,Sonitpur,Assam,26.65998342,92.83001632,2021-05-01,2023-01-01,26.7,92.8
548,Bilasipara,864,Dhubri,Assam,26.23999073,90.22998355,2021-05-01,2023-03-01,26.2,90.2
549,Perka,867,Khunti,Jharkhand,23.00949427,85.26826748,2021-06-01,2023-12-01,23.0,85.3
550,Kolebira,873,Simdega,Jharkhand,22.70087113,84.69572953,2021-05-01,2024-01-01,22.7,84.7
551,Mahuadanr,874,Latehar,Jharkhand,23.39800775,84.10515873,2021-05-01,2022-06-01,23.4,84.1
552,Kothrud,875,Pune,Maharashtra,18.50972943,73.81414443,2021-05-01,2024-01-01,18.5,73.8
553,Nagaon,878,Nagaon,Assam,26.33976164,92.68035934,2021-09-01,2022-08-01,26.3,92.7
554,Borbheta,886,Jorhat,Assam,26.73515761,94.20370787,2018-02-01,2024-01-01,26.7,94.2
555,Alipur,887,Cachar,Assam,24.82003282,92.94001227,2019-11-01,2024-01-01,24.8,92.9
556,Kardaitola,888,Nalbari,Assam,26.38999574,91.4802288,2022-04-01,2024-01-01,26.4,91.5
557,Domadih,889,Godda,Jharkhand,24.78403827,87.35407837,2022-04-01,2024-01-01,24.8,87.4
558,Bhurkunda,890,Ramgarh,Jharkhand,23.65400894,85.35503601,2021-07-01,2023-12-01,23.7,85.4
559,Haider Nagar,891,Palamu,Jharkhand,24.48504314,83.94303459,2022-04-01,2022-09-01,24.5,83.9
560,Kairo,893,Lohardaga,Jharkhand,23.45216698,84.82469568,2022-04-01,2023-01-01,23.5,84.8
561,Zalim Khurd,898,Latehar,Jharkhand,23.7244326,84.56730294,2022-04-01,2024-01-01,23.7,84.6
562,Mihijam,899,Jamtara,Jharkhand,23.84836705,86.87752362,2022-04-01,2023-07-01,23.8,86.9
563,Netarhat,900,Latehar,Jharkhand,23.48806356,84.26202311,2022-04-01,2022-08-01,23.5,84.3
564,Chanho,901,Ranchi,Jharkhand,23.49019734,84.96997941,2022-04-01,2022-11-01,23.5,85.0
565,Lalmatia,902,Godda,Jharkhand,25.06687738,87.3545568,2022-04-01,2024-01-01,25.1,87.4
566,Satbarwa,903,Latehar,Jharkhand,23.92731244,84.25540034,2022-04-01,2024-01-01,23.9,84.3
567,Chouparan,904,Hazaribagh,Jharkhand,24.36018843,85.29303987,2022-04-01,2023-04-01,24.4,85.3
568,Amrit Nagar,905,Hazaribagh,Jharkhand,23.98962882,85.41046454,2022-04-01,2024-01-01,24.0,85.4
569,Dudhimati,906,Koderma,Jharkhand,24.46023615,85.5798743,2022-04-01,2023-10-01,24.5,85.6
570,Nichinta,909,Goalpara,Assam,26.09830818,90.55750904,2022-09-01,2023-07-01,26.1,90.6
571,Khatorbari,910,Baksa,Assam,26.69991397,91.65023869,2021-07-01,2023-05-01,26.7,91.7
