Serial_Number,Location name,ESMI_ID,From date,To date,District,State,Category,Connection Type,Lat,Lon,Duplicates_ESMI_Scrapping,
270,Mahishi,,3/22/2016,8/11/2017,Saharsa,Bihar,Gram Panchayat,Domestic,25.85432828,86.46970867,,Offline
271,Mahpura,,3/2/2016,9/22/2017,Saharsa,Bihar,Gram Panchayat,Domestic,25.83292159,86.45290734,,Offline
272,Malakhedi road Hoshangabad,,4/1/2017,12/1/2018,Hoshangabad,Madhya Pradesh,District Headquarters,Non Domestic,22.7486164,77.75456385,,
273,Malakhedi,,4/1/2017,12/31/2018,Hoshangabad,Madhya Pradesh,Gram Panchayat,Domestic,22.7486164,77.75456385,,
274,Malcha Marg,,4/7/2015,12/31/2018,Central Delhi,Delhi,State Capital,Non Domestic,28.60169307,77.1860531,,
275,Mallapur ,,10/19/2015,1/1/2017,Hyderabad,Telangana,Gram Panchayat,Domestic,17.44395822,78.5805662,,Offline
276,Malsi,,11/24/2016,10/23/2017,Chamoli,Uttarakhand,Gram Panchayat,Domestic,30.12516663,79.27515014,,Offline
277,Malwada,,8/1/2016,12/31/2018,Palghar,Maharashtra,Gram Panchayat,Non Domestic,19.73234528,73.15178733,,
278,Mandideep,,12/16/2014,7/24/2018,Bhopal,Madhya Pradesh,Other Municipal Area,Non Domestic,23.09785035,77.51004172,,
279,Mandir Marg Gopeshwar ,,12/12/2016,10/23/2017,Chamoli,Uttarakhand,Other Municipal Area,Domestic,30.40719017,79.31941145,,Offline
280,Mandwa,,6/12/2016,9/28/2016,Udaipur,Rajasthan,Gram Panchayat,Domestic,24.54602531,73.14407264,,Offline
281,Mangulam Pattabiram,,2/26/2018,5/28/2018,Thiruvallur,Tamil Nadu,State Capital,Domestic,13.12718165,80.06590418,,
282,Manjakuppam Cuddalore,,1/12/2018,5/10/2018,Cuddalore,Tamil Nadu,District Headquarters,Domestic,11.76097948,79.76562057,,
283,Manoj Market,,3/2/2016,8/3/2018,Saharsa,Bihar,District Headquarters,Non Domestic,25.87861055,86.59949303,,
284,Mansarovar,,11/24/2015,6/12/2017,Jaipur,Rajasthan,State Capital,Domestic,26.85385704,75.75888966,,Offline
285,Manwan,,8/14/2016,12/31/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.56419826,80.68044475,,
286,MarenHalli,,8/20/2015,5/4/2017,Bengaluru Urban,Karnataka,State Capital,Domestic,12.91546532,77.58870321,,Offline
287,Marol,,5/31/2015,12/31/2018,Mumbai Suburban,Maharashtra,State Capital,Domestic,19.11618272,72.88149692,,
288,Maruti Vethika Road,,1/7/2015,12/18/2015,Udupi,Karnataka,District Headquarters,Non Domestic,13.33180259,74.74674672,,Offline
289,Masvanpur,,8/6/2015,12/31/2018,Kanpur,Uttar Pradesh,District Headquarters,Domestic,26.48267994,80.26221499,,
290,Mathana ,,10/13/2015,10/18/2016,Kurukshetra,Haryana,Gram Panchayat,Domestic,29.97997013,76.95497462,,Offline
291,Mathura Bazar 1,,9/6/2017,5/29/2018,Balrampur,Uttar Pradesh,Gram Panchayat,Domestic,27.41420246,82.20215377,,
292,Mau Ranipur,,1/3/2017,5/31/2017,Jhansi,Uttar Pradesh,Gram Panchayat,Domestic,25.25152486,79.15103261,,
293,Mau Rural,,1/2/2017,8/3/2017,Jhansi,Uttar Pradesh,Gram Panchayat,Domestic,25.26020026,79.12046893,,Offline
294,Mavli,,6/7/2016,12/31/2018,Udaipur,Rajasthan,Gram Panchayat,Domestic,24.78857098,73.97692311,,
295,Mayur Vihar (III),,6/11/2015,8/3/2016,East Delhi,Delhi,State Capital,Domestic,28.61471323,77.33278712,,Offline
296,MCECHS Layout ,,4/21/2015,6/12/2017,Bengaluru Urban,Karnataka,State Capital,Domestic,13.07110596,77.62856324,,Offline
297,Medilalpurva Baharaich,,12/1/2017,6/1/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,27.72316945,81.49361491,,
298,Meerpet ,,10/10/2015,4/6/2017,Rangareddy,Telangana,State Capital,Domestic,17.32239317,78.53172208,,
299,Meerut Road Ghaziabad,,3/7/2017,10/30/2018,Ghaziabad,Uttar Pradesh,District Headquarters,Non Domestic,28.74899089,77.48969108,,
300,Menar,,6/7/2016,10/18/2016,Udaipur,Rajasthan,Gram Panchayat,Domestic,24.59223764,74.10415627,,Offline
301,MG Road Ghaziabad,,1/13/2016,12/31/2018,Hapur,Uttar Pradesh,District Headquarters,Non Domestic,28.64535696,77.24395085,,
302,MG Road Panjim,,2/1/2016,11/27/2017,North Goa,Goa,State Capital,Non Domestic,15.50054786,73.82987071,,Offline
303,MIDC Ambad ,,11/23/2015,5/4/2018,Nashik,Maharashtra,District Headquarters,Non Domestic,19.95323787,73.73381515,,Offline
304,MIDC Awadhan,,8/31/2015,8/19/2016,Dhule,Maharashtra,District Headquarters,Non Domestic,20.84557443,74.75540889,,Offline
305,MIDC,,11/24/2014,6/23/2018,Akola,Maharashtra,District Headquarters,Non Domestic,20.68151603,77.05537099,,Offline
306,Mihinpurwa,,11/16/2017,12/31/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,28.06760757,81.2535122,,
307,Milkipur,,1/6/2017,3/23/2017,Faizabad,Uttar Pradesh,Gram Panchayat,Domestic,26.59239104,81.90789966,,
308,Miramar Panjim,,2/3/2016,1/29/2017,North Goa,Goa,State Capital,Domestic,15.47760661,73.81284867,,Offline
309,Mohipura ,,9/16/2015,3/29/2016,Barwani,Madhya Pradesh,Gram Panchayat,Agriculture,22.06838831,75.11096222,,Offline
